"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"7","4051","405","1.000000","-0.065577","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.665387","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.136539","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.52603","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.068963","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.030331","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.259682","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.018889","10","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.863767","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.690436","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.902949","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.310508","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.175212","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.989266","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.198517","10","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.903252","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.405196","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.586503","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.430245","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.33749","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.095074","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.334897","11","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.995316","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.350105","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.389743","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.426053","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.240291","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.112783","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.167826","11","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.308167","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.211756","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.13246","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.141594","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.033566","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.140249","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.112783","12","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.663198","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.65003","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.627058","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.393251","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.453841","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
