"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"4","743","74","1.000000","1.529334","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","1.444139","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.980136","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","0.192159","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.029924","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.077584","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","0.374260","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.336316","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.552522","4","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.123459","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.100797","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.859968","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.923513","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.538736","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.595358","5","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.282631","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.126976","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.314223","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.999549","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.492991","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.733342","5","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.683697","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.741869","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.922228","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.89672","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.844313","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.537715","5","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","0.560238","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.641072","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.06226","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","0.973206","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.305577","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.942357","5","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.056105","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.638683","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.118844","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.10385","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","1.309637","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.890569","6","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.040833","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.589816","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.190207","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.074907","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","1.330394","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.970686","6","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.404877","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.062871","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.586107","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.792381","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","1.822449","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.420245","6","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","0.348772","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.424188","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.467263","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","0.688531","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
