"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"8","3381","338","1.000000","-0.156473","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.221231","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.146157","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","-0.084954","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","-0.054026","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.123739","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.189103","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.333018","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.150093","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","-0.118236","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","-0.110429","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","-0.159076","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","-0.115792","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.027805","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","-0.032371","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.058107","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","-0.075679","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.030072","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","-0.157187","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.141649","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","-0.045638","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.288731","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","0.182372","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.039408","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.036137","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.031032","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","-0.007514","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.242278","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","-0.119773","6","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.368360","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","0.195710","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.779817","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.228847","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.532640","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.329938","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.526216","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","0.065343","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.651343","6","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
