"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1885","188","1.000000","-0.984913","16","2"
"2","3322","332","1.000000","-0.17522","16","2"
"3","1525","152","1.000000","-0.970683","16","2"
"4","4182","418","1.000000","-0.172236","16","2"
"5","3419","341","1.000000","-0.437913","16","2"
"6","1313","131","1.000000","-0.721195","16","2"
"7","4051","405","1.000000","-0.129539","16","2"
"1","1885","188","1.000000","-0.069782","16","3"
"2","3322","332","1.000000","0.31242","16","3"
"3","1525","152","1.000000","0.15191","16","3"
"4","4182","418","1.000000","-0.015582","16","3"
"5","3419","341","1.000000","-0.053361","16","3"
"6","1313","131","1.000000","0.027267","16","3"
"7","4051","405","1.000000","0.226058","16","3"
