"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"2","3322","332","1.000000","1.224107","10","2"
"3","1525","152","1.000000","0.231785","10","2"
"4","4182","418","1.000000","0.979949","10","2"
"5","3419","341","1.000000","0.715496","10","2"
"6","1313","131","1.000000","0.171752","10","2"
"7","4051","405","1.000000","0.369327","10","2"
"1","1885","188","1.000000","0.544189","10","3"
"2","3322","332","1.000000","0.85238","10","3"
"3","1525","152","1.000000","0.798111","10","3"
"4","4182","418","1.000000","1.038332","10","3"
"5","3419","341","1.000000","0.808875","10","3"
"6","1313","131","1.000000","0.458337","10","3"
"7","4051","405","1.000000","0.48027","10","3"
"1","1885","188","1.000000","-0.28721","10","4"
"2","3322","332","1.000000","0.722659","10","4"
"3","1525","152","1.000000","0.035386","10","4"
"4","4182","418","1.000000","0.417742","10","4"
"5","3419","341","1.000000","0.222414","10","4"
"6","1313","131","1.000000","-0.057821","10","4"
"7","4051","405","1.000000","0.108967","10","4"
"1","1885","188","1.000000","1.145688","10","5"
"2","3322","332","1.000000","0.371997","10","5"
"3","1525","152","1.000000","0.614014","10","5"
"4","4182","418","1.000000","0.427173","10","5"
"5","3419","341","1.000000","0.627427","10","5"
"6","1313","131","1.000000","0.411736","10","5"
"7","4051","405","1.000000","0.48722","10","5"
"1","1885","188","1.000000","-1.873555","11","1"
"2","3322","332","1.000000","-1.169627","11","1"
"3","1525","152","1.000000","-2.253294","11","1"
"4","4182","418","1.000000","-1.270081","11","1"
"5","3419","341","1.000000","-0.901862","11","1"
"6","1313","131","1.000000","-1.975463","11","1"
"7","4051","405","1.000000","-0.221157","11","1"
"1","1885","188","1.000000","-0.065933","11","2"
"2","3322","332","1.000000","-0.154424","11","2"
"3","1525","152","1.000000","-0.589174","11","2"
"4","4182","418","1.000000","-0.257807","11","2"
"5","3419","341","1.000000","-0.018854","11","2"
"6","1313","131","1.000000","-1.127147","11","2"
"7","4051","405","1.000000","0.311815","11","2"
"1","1885","188","1.000000","-0.998775","11","3"
"2","3322","332","1.000000","-0.10223","11","3"
"3","1525","152","1.000000","-0.831945","11","3"
"4","4182","418","1.000000","-0.886546","11","3"
"5","3419","341","1.000000","-0.599312","11","3"
"6","1313","131","1.000000","-1.949617","11","3"
"7","4051","405","1.000000","0.059066","11","3"
"1","1885","188","1.000000","-3.213729","11","4"
"2","3322","332","1.000000","-1.579438","11","4"
"3","1525","152","1.000000","-3.285964","11","4"
"4","4182","418","1.000000","-1.909666","11","4"
"5","3419","341","1.000000","-1.409303","11","4"
"6","1313","131","1.000000","-2.926642","11","4"
"7","4051","405","1.000000","-0.430257","11","4"
"1","1885","188","1.000000","0.87478","11","5"
"2","3322","332","1.000000","1.067397","11","5"
"3","1525","152","1.000000","1.421349","11","5"
"4","4182","418","1.000000","0.383536","11","5"
"5","3419","341","1.000000","0.30255","11","5"
"6","1313","131","1.000000","0.025846","11","5"
"7","4051","405","1.000000","0.280223","11","5"
"1","1885","188","1.000000","1.653266","12","1"
"2","3322","332","1.000000","1.101235","12","1"
"3","1525","152","1.000000","0.283908","12","1"
"4","4182","418","1.000000","0.028171","12","1"
"5","3419","341","1.000000","0.036106","12","1"
"6","1313","131","1.000000","0.293387","12","1"
"7","4051","405","1.000000","0.65213","12","1"
"1","1885","188","1.000000","2.459608","12","2"
"2","3322","332","1.000000","1.351676","12","2"
"3","1525","152","1.000000","0.915119","12","2"
"4","4182","418","1.000000","0.375539","12","2"
"5","3419","341","1.000000","0.321465","12","2"
"6","1313","131","1.000000","0.979136","12","2"
"7","4051","405","1.000000","0.887379","12","2"
"1","1885","188","1.000000","3.60346","12","3"
"2","3322","332","1.000000","1.553592","12","3"
"3","1525","152","1.000000","1.425879","12","3"
"4","4182","418","1.000000","0.753553","12","3"
"5","3419","341","1.000000","0.20494","12","3"
"6","1313","131","1.000000","1.524312","12","3"
"7","4051","405","1.000000","0.97667","12","3"
"1","1885","188","1.000000","2.454024","12","4"
"2","3322","332","1.000000","1.780912","12","4"
"3","1525","152","1.000000","0.557572","12","4"
"4","4182","418","1.000000","0.1773","12","4"
"5","3419","341","1.000000","0.535396","12","4"
"6","1313","131","1.000000","0.518164","12","4"
"7","4051","405","1.000000","0.971939","12","4"
"1","1885","188","1.000000","1.950194","12","5"
"2","3322","332","1.000000","0.452357","12","5"
"3","1525","152","1.000000","1.141971","12","5"
"4","4182","418","1.000000","0.725382","12","5"
"5","3419","341","1.000000","0.168834","12","5"
"6","1313","131","1.000000","1.230925","12","5"
"7","4051","405","1.000000","0.32454","12","5"
"1","1885","188","1.000000","-0.883357","13","1"
"2","3322","332","1.000000","-0.609523","13","1"
"3","1525","152","1.000000","-1.399891","13","1"
"4","4182","418","1.000000","-0.516754","13","1"
"5","3419","341","1.000000","-0.760188","13","1"
"6","1313","131","1.000000","0.596144","13","1"
"7","4051","405","1.000000","-0.082566","13","1"
"1","1885","188","1.000000","-0.494836","13","2"
"2","3322","332","1.000000","-0.661463","13","2"
"3","1525","152","1.000000","-0.947497","13","2"
"4","4182","418","1.000000","-0.528747","13","2"
"5","3419","341","1.000000","-0.579182","13","2"
"6","1313","131","1.000000","0.546116","13","2"
"7","4051","405","1.000000","-0.081669","13","2"
"1","1885","188","1.000000","-0.114831","13","3"
"2","3322","332","1.000000","-0.421011","13","3"
"3","1525","152","1.000000","-0.798065","13","3"
"4","4182","418","1.000000","-0.324512","13","3"
"5","3419","341","1.000000","-0.572163","13","3"
"6","1313","131","1.000000","0.714581","13","3"
"7","4051","405","1.000000","-0.024915","13","3"
"1","1885","188","1.000000","-0.92267","13","4"
"2","3322","332","1.000000","-0.826983","13","4"
"3","1525","152","1.000000","-1.691448","13","4"
"4","4182","418","1.000000","-0.747042","13","4"
"5","3419","341","1.000000","-0.959104","13","4"
"6","1313","131","1.000000","-0.049983","13","4"
"7","4051","405","1.000000","-0.092316","13","4"
"1","1885","188","1.000000","0.768526","13","5"
"2","3322","332","1.000000","0.188512","13","5"
"3","1525","152","1.000000","0.601826","13","5"
"4","4182","418","1.000000","0.192243","13","5"
"5","3419","341","1.000000","0.188025","13","5"
"6","1313","131","1.000000","0.118437","13","5"
